m_H^v,m_A^v,m_L^v,share_H,share_L,share_A,mean_c_T,mean_v_T,mean_cumulative_u,regime,seconds
0.6,0.0,0.0,0.98357,0.0,0.01643,0.9999999999734187,0.5999999999839356,633.0068756401024,mostly H,10.765906874999985
0.6,0.05,0.0,0.98166,0.0,0.01834,0.9999999999722555,0.5999999999835243,633.0350785444604,mostly H,10.761436542000013
0.6,0.1,0.0,0.97988,0.0,0.02012,0.9999999999711396,0.5999999999833674,633.0661088063918,mostly H,10.45405845800002
0.6,0.15,0.0,0.97711,0.0,0.02289,0.9999999999692322,0.5999999999827658,633.1061743903159,mostly H,10.591262416999996
0.6,0.2,0.0,0.97451,0.0,0.02549,0.9999999999673895,0.599999999982558,633.1585032869897,mostly H,10.686230749999993
0.6,0.25,0.0,0.97021,0.0,0.02979,0.999999999964041,0.5999999999817269,633.2142693644306,mostly H,10.617018499999972
0.6,0.3,0.0,0.96462,0.0,0.03538,0.9999999999591529,0.5999999999806651,633.2953182834941,mostly H,10.520843832999958
0.6,0.35,0.0,0.95332,0.0,0.04668,0.999999999946579,0.5999999999769983,633.4001931368084,mostly H,10.80184404199997
0.6,0.4,0.0,0.93025,0.0,0.06975,0.999999999907728,0.5999999999660625,633.5929374679762,mostly H,10.829396374999988
0.6,0.45,0.0,0.0,0.0,1.0,0.44999999999718276,0.44999999999718276,644.953183708215,mostly A,11.316768958000011
0.6,0.5,0.0,0.0,0.0,1.0,0.44999999999718276,0.49999999999577405,654.8956786139033,mostly A,11.307271125
0.6,0.55,0.0,0.0,0.0,1.0,0.44999999999718276,0.5499999999943653,664.8381735195923,mostly A,11.52419445800001
0.6,0.6,0.0,0.0,0.0,1.0,0.44999999999718276,0.5999999999929573,674.7806684252805,mostly A,11.763497083000004
0.6,0.65,0.0,0.0,0.0,1.0,0.44999999999718276,0.6499999999915486,684.7231633309689,mostly A,11.727813916999992
0.6,0.7,0.0,0.0,0.0,1.0,0.44999999999718276,0.6999999999901398,694.6656582366575,mostly A,11.562926583999968
0.6,0.75,0.0,0.0,0.0,1.0,0.44999999999718276,0.7499999999887313,704.6081531423458,mostly A,11.552908082999977
0.6,0.8,0.0,0.0,0.0,1.0,0.44999999999718276,0.7999999999873226,714.5506480480343,mostly A,11.411084667000011
0.6,0.85,0.0,0.0,0.0,1.0,0.44999999999718276,0.8499999999859139,724.493142953723,mostly A,11.44269912499999
0.6,0.9,0.0,0.0,0.0,1.0,0.44999999999718276,0.8999999999845052,734.4356378594115,mostly A,11.380696750000027
0.6,0.95,0.0,0.0,0.0,1.0,0.44999999999718276,0.9499999999830966,744.3781327651,mostly A,12.102438791999987
0.6,1.0,0.0,0.0,0.0,1.0,0.44999999999718276,0.9999999999816879,754.3206276707882,mostly A,12.246195083000032
0.7,0.0,0.0,0.98334,0.0,0.01666,0.9999999999731692,0.6999999999792973,633.0270119375225,mostly H,11.613487250000048
0.7,0.05,0.0,0.98175,0.0,0.01825,0.9999999999721864,0.6999999999789104,633.0546405285943,mostly H,11.538687083000013
0.7,0.1,0.0,0.97969,0.0,0.02031,0.9999999999708554,0.6999999999783222,633.0865617567856,mostly H,11.273054916999968
0.7,0.15,0.0,0.97729,0.0,0.02271,0.9999999999691996,0.6999999999776512,633.1251919089186,mostly H,11.220915999999988
0.7,0.2,0.0,0.97417,0.0,0.02583,0.9999999999668907,0.6999999999766877,633.1810543623876,mostly H,11.228901750000034
0.7,0.25,0.0,0.97055,0.0,0.02945,0.9999999999639886,0.6999999999756583,633.2408923745226,mostly H,11.373106750000034
0.7,0.3,0.0,0.96398,0.0,0.03602,0.9999999999581106,0.6999999999729924,633.3267580195161,mostly H,11.896662375000005
0.7,0.35,0.0,0.95259,0.0,0.04741,0.9999999999450864,0.6999999999668476,633.434273093792,mostly H,11.917663667
0.7,0.4,0.0,0.92868,0.0,0.07132,0.9999999999018532,0.6999999999465935,633.6308327544435,mostly H,11.958514374999993
0.7,0.45,0.0,0.0,0.0,1.0,0.44999999999718276,0.44999999999718276,644.953183708215,mostly A,12.662393874999964
